====================================================================================================
Optimizer       | Alpha  | C     | LR     | Avg MSE         | Avg Time (ms)  
L-BFGS          | 10.0   | 0.2   | 0.0050 | 42.1968         | 1.08           
L-BFGS          | 10.0   | 0.2   | 0.0100 | 42.1968         | 1.07           
L-BFGS          | 10.0   | 0.2   | 0.0500 | 42.1968         | 1.09           
L-BFGS          | 10.0   | 0.5   | 0.0010 | 35.0485         | 1.02           
L-BFGS          | 10.0   | 0.5   | 0.0050 | 35.0485         | 1.03           
L-BFGS          | 10.0   | 0.5   | 0.0100 | 35.0485         | 1.06           
L-BFGS          | 10.0   | 0.5   | 0.0500 | 35.0485         | 1.01           
L-BFGS          | 10.0   | 0.8   | 0.0010 | 48.5921         | 1.19           
L-BFGS          | 10.0   | 0.8   | 0.0050 | 48.5921         | 1.17           
L-BFGS          | 10.0   | 0.8   | 0.0100 | 48.5921         | 1.15           
L-BFGS          | 10.0   | 0.8   | 0.0500 | 48.5921         | 1.14           
L-BFGS          | 25.0   | 0.2   | 0.0010 | 44.1313         | 1.61           
L-BFGS          | 25.0   | 0.2   | 0.0050 | 44.1313         | 1.60           
L-BFGS          | 25.0   | 0.2   | 0.0100 | 44.1313         | 1.57           
L-BFGS          | 25.0   | 0.2   | 0.0500 | 44.1313         | 1.71           
L-BFGS          | 25.0   | 0.5   | 0.0010 | 29.9343         | 1.95           
L-BFGS          | 25.0   | 0.5   | 0.0050 | 29.9343         | 1.93           
L-BFGS          | 25.0   | 0.5   | 0.0100 | 29.9343         | 1.89           
L-BFGS          | 25.0   | 0.5   | 0.0500 | 29.9343         | 1.91           
L-BFGS          | 25.0   | 0.8   | 0.0010 | 53.0457         | 1.62           
L-BFGS          | 25.0   | 0.8   | 0.0050 | 53.0457         | 1.62           
L-BFGS          | 25.0   | 0.8   | 0.0100 | 53.0457         | 1.59           
L-BFGS          | 25.0   | 0.8   | 0.0500 | 53.0457         | 1.54           
L-BFGS          | 50.0   | 0.2   | 0.0010 | 56.0939         | 1.78           
L-BFGS          | 50.0   | 0.2   | 0.0050 | 56.0939         | 1.77           
L-BFGS          | 50.0   | 0.2   | 0.0100 | 56.0939         | 1.78           
L-BFGS          | 50.0   | 0.2   | 0.0500 | 56.0939         | 1.75           
L-BFGS          | 50.0   | 0.5   | 0.0010 | 47.1801         | 1.56           
L-BFGS          | 50.0   | 0.5   | 0.0050 | 47.1801         | 1.57           
L-BFGS          | 50.0   | 0.5   | 0.0100 | 47.1801         | 1.53           
L-BFGS          | 50.0   | 0.5   | 0.0500 | 47.1801         | 1.57           
L-BFGS          | 50.0   | 0.8   | 0.0010 | 69.9606         | 1.52           
L-BFGS          | 50.0   | 0.8   | 0.0050 | 69.9606         | 1.55           
L-BFGS          | 50.0   | 0.8   | 0.0100 | 69.9606         | 1.49           
L-BFGS          | 50.0   | 0.8   | 0.0500 | 69.9606         | 1.43           
Nesterov        | 1.0    | 0.2   | 0.0010 | 66.2725         | 163.24         
Nesterov        | 1.0    | 0.2   | 0.0050 | 66.2708         | 160.04         
Nesterov        | 1.0    | 0.2   | 0.0100 | 66.2708         | 160.59         
Nesterov        | 1.0    | 0.2   | 0.0500 | 66.2708         | 160.02         
Nesterov        | 1.0    | 0.5   | 0.0010 | 64.9910         | 162.99         
Nesterov        | 1.0    | 0.5   | 0.0050 | 64.9907         | 163.67         
Nesterov        | 1.0    | 0.5   | 0.0100 | 64.9907         | 164.20         
Nesterov        | 1.0    | 0.5   | 0.0500 | 64.9907         | 163.24         
Nesterov        | 1.0    | 0.8   | 0.0010 | 65.6534         | 163.94         
Nesterov        | 1.0    | 0.8   | 0.0050 | 65.6520         | 162.95         
Nesterov        | 1.0    | 0.8   | 0.0100 | 65.6520         | 161.81         
Nesterov        | 1.0    | 0.8   | 0.0500 | 65.6520         | 161.78         
Nesterov        | 10.0   | 0.2   | 0.0010 | 42.2316         | 162.86         
Nesterov        | 10.0   | 0.2   | 0.0050 | 42.1529         | 161.85         
Nesterov        | 10.0   | 0.2   | 0.0100 | 42.1809         | 162.35         
Nesterov        | 10.0   | 0.2   | 0.0500 | 42.1784         | 164.93         
Nesterov        | 10.0   | 0.5   | 0.0010 | 34.9636         | 161.06         
Nesterov        | 10.0   | 0.5   | 0.0050 | 34.9520         | 162.76         
Nesterov        | 10.0   | 0.5   | 0.0100 | 34.9486         | 163.49         
Nesterov        | 10.0   | 0.5   | 0.0500 | 34.9514         | 160.42         
Nesterov        | 10.0   | 0.8   | 0.0010 | 48.6788         | 161.57         
Nesterov        | 10.0   | 0.8   | 0.0050 | 48.5894         | 162.24         
Nesterov        | 10.0   | 0.8   | 0.0100 | 48.5949         | 160.24         
Nesterov        | 10.0   | 0.8   | 0.0500 | 48.6034         | 159.23         
Nesterov        | 25.0   | 0.2   | 0.0010 | 47.6041         | 162.26         
Nesterov        | 25.0   | 0.2   | 0.0050 | 44.8411         | 161.02         
Nesterov        | 25.0   | 0.2   | 0.0100 | 43.8153         | 164.05         
Nesterov        | 25.0   | 0.2   | 0.0500 | 41.6083         | 159.19         
Nesterov        | 25.0   | 0.5   | 0.0010 | 32.9358         | 162.28         
Nesterov        | 25.0   | 0.5   | 0.0050 | 32.0778         | 163.80         
Nesterov        | 25.0   | 0.5   | 0.0100 | 31.5934         | 162.40         
Nesterov        | 25.0   | 0.5   | 0.0500 | 28.2006         | 163.81         
Nesterov        | 25.0   | 0.8   | 0.0010 | 56.7809         | 164.26         
Nesterov        | 25.0   | 0.8   | 0.0050 | 53.3117         | 162.56         
Nesterov        | 25.0   | 0.8   | 0.0100 | 52.1137         | 163.96         
Nesterov        | 25.0   | 0.8   | 0.0500 | 49.9489         | 163.64         
Nesterov        | 50.0   | 0.2   | 0.0010 | 68.1848         | 163.41         
Nesterov        | 50.0   | 0.2   | 0.0050 | 60.4742         | 162.91         
Nesterov        | 50.0   | 0.2   | 0.0100 | 59.6844         | 162.85         
Nesterov        | 50.0   | 0.2   | 0.0500 | 59.7967         | 166.44         
Nesterov        | 50.0   | 0.5   | 0.0010 | 48.1318         | 163.41         
Nesterov        | 50.0   | 0.5   | 0.0050 | 47.4446         | 165.09         
Nesterov        | 50.0   | 0.5   | 0.0100 | 47.7962         | 164.64         
Nesterov        | 50.0   | 0.5   | 0.0500 | 55.5175         | 165.05         
Nesterov        | 50.0   | 0.8   | 0.0010 | 76.1137         | 163.94         
Nesterov        | 50.0   | 0.8   | 0.0050 | 71.1561         | 164.26         
Nesterov        | 50.0   | 0.8   | 0.0100 | 70.0913         | 163.91         
Nesterov        | 50.0   | 0.8   | 0.0500 | 69.0990         | 167.12         
Projected GD    | 1.0    | 0.2   | 0.0010 | 67.7319         | 104.81         
Projected GD    | 1.0    | 0.2   | 0.0050 | 66.2944         | 104.21         
Projected GD    | 1.0    | 0.2   | 0.0100 | 66.2725         | 106.23         
Projected GD    | 1.0    | 0.2   | 0.0500 | 66.2708         | 104.30         
Projected GD    | 1.0    | 0.5   | 0.0010 | 66.6294         | 102.80         
Projected GD    | 1.0    | 0.5   | 0.0050 | 65.0104         | 103.45         
Projected GD    | 1.0    | 0.5   | 0.0100 | 64.9910         | 104.24         
Projected GD    | 1.0    | 0.5   | 0.0500 | 64.9907         | 103.22         
Projected GD    | 1.0    | 0.8   | 0.0010 | 67.2040         | 103.07         
Projected GD    | 1.0    | 0.8   | 0.0050 | 65.6717         | 103.59         
Projected GD    | 1.0    | 0.8   | 0.0100 | 65.6534         | 104.01         
Projected GD    | 1.0    | 0.8   | 0.0500 | 65.6520         | 105.04         
Projected GD    | 10.0   | 0.2   | 0.0010 | 44.0814         | 104.37         
Projected GD    | 10.0   | 0.2   | 0.0050 | 42.4316         | 104.05         
Projected GD    | 10.0   | 0.2   | 0.0100 | 42.2119         | 105.19         
Projected GD    | 10.0   | 0.2   | 0.0500 | 42.1201         | 103.53         
Projected GD    | 10.0   | 0.5   | 0.0010 | 35.3403         | 102.00         
Projected GD    | 10.0   | 0.5   | 0.0050 | 34.9713         | 104.02         
Projected GD    | 10.0   | 0.5   | 0.0100 | 34.9639         | 103.63         
Projected GD    | 10.0   | 0.5   | 0.0500 | 34.9563         | 104.02         
Projected GD    | 10.0   | 0.8   | 0.0010 | 50.7610         | 104.14         
Projected GD    | 10.0   | 0.8   | 0.0050 | 48.9348         | 103.40         
Projected GD    | 10.0   | 0.8   | 0.0100 | 48.6861         | 103.47         
Projected GD    | 10.0   | 0.8   | 0.0500 | 48.6037         | 103.30         
Projected GD    | 25.0   | 0.2   | 0.0010 | 55.7547         | 104.20         
Projected GD    | 25.0   | 0.2   | 0.0050 | 49.2566         | 102.51         
Projected GD    | 25.0   | 0.2   | 0.0100 | 47.4221         | 103.80         
