Optimizer,Alpha,C,LR,Avg MSE,Avg Time (ms)
Stochastic GD,1.0,0.8,0.0100,67.7990,1191.04
Stochastic GD,10.0,0.2,0.0010,62.4488,1146.11
Stochastic GD,10.0,0.2,0.0050,61.1444,1144.21
Stochastic GD,10.0,0.2,0.0100,61.0339,1254.56
Stochastic GD,10.0,0.5,0.0010,62.3671,1366.94
Stochastic GD,10.0,0.5,0.0050,60.7651,1322.63
Stochastic GD,10.0,0.5,0.0100,60.5592,1427.27
Stochastic GD,10.0,0.8,0.0010,64.3107,1258.49
Stochastic GD,10.0,0.8,0.0050,62.9791,1249.73
Stochastic GD,10.0,0.8,0.0100,62.8641,1232.61
Stochastic GD,50.0,0.2,0.0010,94.9735,1261.07
Stochastic GD,50.0,0.2,0.0050,91.0473,1099.60
Stochastic GD,50.0,0.2,0.0100,89.2462,1271.22
Stochastic GD,50.0,0.5,0.0010,59.3402,1076.20
Stochastic GD,50.0,0.5,0.0050,56.9240,1560.40
Stochastic GD,50.0,0.5,0.0100,58.3146,1221.22
Stochastic GD,50.0,0.8,0.0010,95.8575,1345.44
Stochastic GD,50.0,0.8,0.0050,91.9945,1225.30
Stochastic GD,50.0,0.8,0.0100,90.2427,1171.68
