n,alpha,c,seed,algo,loss,time,lr,iters,mse
10,5.0,0.5,1,gd,0.05754463002085686,0.09430623054504395,0.005,500,0.005754463002085685
10,1.0,0.5,1,gd,1.4253698587417603,0.2228388786315918,0.005,1000,0.14253698587417601
10,10.0,0.5,0,gd,0.00044794255518354475,0.18714094161987305,0.001,1000,4.479425551835447e-05
10,5.0,0.5,1,gd,0.05754463002085686,0.09431576728820801,0.01,500,0.005754463002085685
10,10.0,0.2,0,gd,0.002686544321477413,0.18978023529052734,0.01,1000,0.0002686544321477413
10,5.0,0.2,0,gd,0.1805623322725296,0.2061474323272705,0.001,1000,0.01805623322725296
10,5.0,0.5,0,gd,0.05754463002085686,0.20354127883911133,0.01,1000,0.005754463002085685
10,20.0,0.5,0,gd,2.060966686201482e-08,0.18691396713256836,0.001,1000,2.060966686201482e-09
10,5.0,0.8,0,gd,0.003235037438571453,0.20846915245056152,0.001,1000,0.0003235037438571453
10,10.0,0.95,0,gd,5.601957653311729e-08,0.19391751289367676,0.01,1000,5.6019576533117285e-09
10,20.0,0.2,0,gd,0.007642488926649094,0.19431829452514648,0.001,1000,0.0007642488926649094
10,1.0,0.8,1,gd,0.9611582159996033,0.11752152442932129,0.005,500,0.09611582159996032
10,1.0,0.8,0,gd,0.9611582159996033,0.2218949794769287,0.01,1000,0.09611582159996032
10,10.0,0.5,0,gd,0.00044794255518354475,0.20453977584838867,0.005,1000,4.479425551835447e-05
10,1.0,0.95,0,gd,0.7777673602104187,0.2221066951751709,0.005,1000,0.07777673602104188
10,10.0,0.95,0,gd,5.601957653311729e-08,0.2015688419342041,0.001,1000,5.6019576533117285e-09
10,5.0,0.5,1,gd,0.05754463002085686,0.22653484344482422,0.001,1000,0.005754463002085685
10,10.0,0.5,0,gd,0.00044794255518354475,0.20955777168273926,0.01,1000,4.479425551835447e-05
10,1.0,0.95,0,gd,0.7777673602104187,0.22914648056030273,0.001,1000,0.07777673602104188
10,20.0,0.8,0,gd,1.266416035624121e-13,0.19505095481872559,0.005,1000,1.266416035624121e-14
10,1.0,0.95,1,gd,0.7777673602104187,0.1789839267730713,0.001,1000,0.07777673602104188
10,20.0,0.95,0,gd,3.139132954584203e-16,0.1939387321472168,0.005,1000,3.1391329545842027e-17
10,20.0,0.2,0,gd,0.001330039813183248,0.2073049545288086,0.005,1000,0.0001330039813183248
10,5.0,0.2,0,gd,0.011614806950092316,0.2284536361694336,0.01,1000,0.0011614806950092315
10,1.0,0.95,0,gd,0.7777673602104187,0.23118281364440918,0.01,1000,0.07777673602104188
10,5.0,0.8,0,gd,0.003235037438571453,0.22359132766723633,0.01,1000,0.0003235037438571453
10,5.0,0.95,0,gd,0.0007357326103374362,0.2200789451599121,0.01,1000,7.357326103374362e-05
10,20.0,0.2,0,gd,0.000649603724014014,0.20886635780334473,0.01,1000,6.49603724014014e-05
10,5.0,0.8,1,gd,0.003235037438571453,0.11562943458557129,0.001,500,0.0003235037438571453
10,5.0,0.5,0,gd,0.05754463002085686,0.22999930381774902,0.001,1000,0.005754463002085685
10,5.0,0.2,0,gd,0.025035550817847252,0.23305940628051758,0.005,1000,0.002503555081784725
10,10.0,0.2,0,gd,0.005578598473221064,0.22159147262573242,0.005,1000,0.0005578598473221063
10,1.0,0.8,1,gd,0.9611582159996033,0.18964624404907227,0.005,1000,0.09611582159996032
10,1.0,0.2,0,gd,0.9611582159996033,0.21587514877319336,0.01,1000,0.09611582159996032
10,10.0,0.2,0,gd,0.03395486995577812,0.22493934631347656,0.001,1000,0.003395486995577812
10,5.0,0.5,0,gd,0.05754463002085686,0.2329261302947998,0.005,1000,0.005754463002085685
10,5.0,0.8,1,gd,0.003235037438571453,0.1014566421508789,0.01,500,0.0003235037438571453
10,5.0,0.95,0,gd,0.0007357326103374362,0.23046565055847168,0.001,1000,7.357326103374362e-05
10,10.0,0.8,0,gd,1.1245971336393268e-06,0.22217774391174316,0.005,1000,1.1245971336393268e-07
10,10.0,0.8,0,gd,1.1245971336393268e-06,0.2236948013305664,0.001,1000,1.1245971336393268e-07
10,5.0,0.95,0,gd,0.0007357326103374362,0.23042726516723633,0.005,1000,7.357326103374362e-05
10,1.0,0.2,1,gd,0.9611582159996033,0.2005140781402588,0.01,1000,0.09611582159996032
10,10.0,0.8,1,gd,1.1245971336393268e-06,0.1059119701385498,0.001,500,1.1245971336393268e-07
10,5.0,0.95,1,gd,0.0007357326103374362,0.11252570152282715,0.005,500,7.357326103374362e-05
10,20.0,0.5,0,gd,2.060966686201482e-08,0.21691131591796875,0.01,1000,2.060966686201482e-09
10,1.0,0.2,1,gd,2.3574154376983643,0.20926833152770996,0.001,1000,0.23574154376983641
10,5.0,0.95,1,gd,0.0007357326103374362,0.10377907752990723,0.001,500,7.357326103374362e-05
10,20.0,0.8,0,gd,1.266416035624121e-13,0.21967220306396484,0.001,1000,1.266416035624121e-14
10,1.0,0.95,1,gd,0.7777673602104187,0.20123577117919922,0.005,1000,0.07777673602104188
